Código IES;Instituição(IES);Sigla;Categoria Administrativa;Código Curso;Nome do Curso;Grau;Modalidade;CC;Ano CC;CPC;Ano CPC;ENADE;Ano ENADE;IDD;Ano IDD;Vagas Autorizadas;Data início funcionamento;Data Ato de Criação;Situação;Código Área Geral CINE;Área Geral CINE;Código Área Específica CINE;Área Específica CINE;Código Área Detalhada CINE;Área Detalhada CINE;Código Rótulo CINE;Rótulo CINE
3182;Faculdade UNIRB - ARAPIRACA;F. UNIRB;Privada com fins lucrativos;1321677;BIOMEDICINA;Bacharelado;Presencial;4;2023;3;2023;2;2023;2;2023;160;07/10/2016;12/09/2016;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
3188;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS;IFNMG;Pública Federal;1102648;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2015;3;2023;3;2023;3;2023;60;01/02/2011;24/09/2010;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
3189;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS;IFMG;Pública Federal;1419558;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2022;5;2023;5;2023;5;2023;40;15/02/2018;29/09/2017;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
3193;FACULDADES INTEGRADAS DOS CAMPOS GERAIS;CESCAGE;Privada com fins lucrativos;88834;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2023;3;2023;3;2023;3;2023;100;01/01/2004;11/11/2005;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
3194;FACULDADE DE MINAS BH;FAMINAS-BH;Privada com fins lucrativos;1029204;MEDICINA;Bacharelado;Presencial;5;2025;3;2023;2;2025;2;2023;180;06/08/2012;06/06/2012;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
3194;FACULDADE DE MINAS BH;FAMINAS-BH;Privada com fins lucrativos;1029207;BIOMEDICINA;Bacharelado;Presencial;4;2014;4;2023;3;2023;3;2023;180;07/02/2011;07/07/2010;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
3204;FACULDADE UNIBRAS DO MATO GROSSO;FACBRAS;Privada com fins lucrativos;1406034;MEDICINA VETERINÁRIA;Bacharelado;Presencial;3;2023;3;2023;1;2023;1;2023;100;16/05/2019;10/04/2019;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
3205;CENTRO UNIVERSITÁRIO DE VIÇOSA;UNIVIÇOSA;Privada com fins lucrativos;74089;MEDICINA VETERINÁRIA;Bacharelado;Presencial;5;2008;3;2023;3;2023;2;2023;100;14/02/2005;03/09/2004;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
3226;FACULDADE DE MEDICINA;ITPAC;Privada com fins lucrativos;58424;MEDICINA;Bacharelado;Presencial;-;;SC;2010;2;2010;3;2007;60;01/08/1999;19/05/1999;Em Extinção;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
3252;FACULDADE QUIRINÓPOLIS;FAQUI;Privada com fins lucrativos;1349428;BIOMEDICINA;Bacharelado;Presencial;4;2022;2;2023;2;2023;3;2023;100;25/01/2017;28/09/2016;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
3268;FACULDADE MADRE THAIS;FMT;Privada com fins lucrativos;1112244;BIOMEDICINA;Bacharelado;Presencial;3;2014;3;2023;3;2023;3;2023;100;06/02/2012;31/08/2011;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
3285;FACULDADE SANTO ANTONIO;FSA;Privada com fins lucrativos;100152;BIOMEDICINA;Bacharelado;Presencial;-;2015;2;2023;1;2023;2;2023;200;05/02/2007;11/01/2007;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
3294;CENTRO UNIVERSITÁRIO FAVENI;UNIFAVENI;Privada com fins lucrativos;1586601;BIOMEDICINA;Bacharelado;A Distância;4;2024;-;;-;;-;;900;03/01/2022;25/07/2021;Em Extinção;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
3304;CENTRO UNIVERSITÁRIO DE PATOS;UNIFIP;Privada com fins lucrativos;94325;BIOMEDICINA;Bacharelado;Presencial;4;2013;3;2023;3;2023;3;2023;100;07/08/2006;24/05/2006;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
3304;CENTRO UNIVERSITÁRIO DE PATOS;UNIFIP;Privada com fins lucrativos;1191415;MEDICINA;Bacharelado;Presencial;4;2024;3;2023;3;2025;3;2023;60;25/08/2014;11/06/2014;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
3304;CENTRO UNIVERSITÁRIO DE PATOS;UNIFIP;Privada com fins lucrativos;1440029;MEDICINA VETERINÁRIA;Bacharelado;Presencial;5;2023;3;2023;2;2023;2;2023;60;06/08/2019;14/05/2019;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
3319;Instituto Universitário Una de Catalão;Catalana;Privada com fins lucrativos;1441460;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2023;2;2023;2;2023;1;2023;84;13/08/2019;01/07/2019;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
3319;Instituto Universitário Una de Catalão;Catalana;Privada com fins lucrativos;1606654;BIOMEDICINA;Bacharelado;Presencial;4;2023;-;;-;;-;;100;17/02/2025;21/12/2023;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
3333;CENTRO UNIVERSITÁRIO UNIFTEC;-;Privada com fins lucrativos;1616655;BIOMEDICINA;Bacharelado;Presencial;-;;-;;-;;-;;80;06/03/2023;31/10/2022;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
3333;CENTRO UNIVERSITÁRIO UNIFTEC;-;Privada com fins lucrativos;1635142;MEDICINA VETERINÁRIA;Bacharelado;Presencial;-;;4;2023;4;2023;5;2023;80;Não iniciado;28/03/2023;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
