NU_ANO;CO_CURSO;ANO_FIM_EM;ANO_IN_GRAD;CO_TURNO_GRADUACAO
2025;1184060;1994;2019;3
2025;37304;1994;2021;4
2025;1408262;1994;2021;3
2025;1188900;1994;2020;3
2025;98506;1994;2020;3
2025;1258023;1994;2020;3
2025;9805;1994;2021;3
2025;72667;1994;2022;3
2025;9988;1994;2020;3
2025;1427419;1994;2020;3
2025;18605;1994;2020;3
2025;1258021;1994;2020;3
2025;5001294;1994;2022;3
2025;20360;1994;2020;3
2025;71859;1994;2020;3
2025;1399482;1994;2021;3
2025;1385538;1994;2020;3
2025;1184325;1994;2020;3
2025;1192047;1994;2021;3
2025;57402;1994;2020;3
2025;1108281;1994;2020;3
2025;1192188;1994;2019;3
2025;1166567;1994;2021;3
2025;75821;1994;2021;3
2025;64918;1994;2020;3
2025;39415;1995;2020;3
2025;5000980;1995;2020;3
2025;1202553;1995;2019;3
2025;65114;1995;2022;3
2025;7414;1995;2020;3
2025;1166567;1995;2019;3
2025;72681;1995;2020;3
2025;72681;1995;2020;3
2025;5001294;1995;2020;3
2025;1399482;1995;2021;3
2025;1477973;1995;2020;3
2025;5001183;1995;2022;3
2025;1408261;1995;2020;3
2025;1104264;1995;2021;3
2025;85652;1995;2021;3
2025;1184060;1995;2019;3
2025;1419799;1995;2020;3
2025;6496;1995;2023;3
2025;1485621;1995;2023;3
2025;7414;1995;2020;3
2025;1399487;1995;2020;3
2025;1399615;1995;2021;3
2025;1180318;1995;2020;3
2025;1166567;1995;2020;3
2025;1421013;1995;2020;3
2025;65114;1995;2021;3
2025;57402;1995;2020;3
2025;19294;1995;2020;3
2025;1257548;1995;2024;3
2025;18605;1995;2020;3
2025;91219;1995;2021;3
2025;19086;1995;2019;3
2025;1406536;1995;2020;3
2025;1166567;1995;2021;3
2025;90084;1995;2020;3
2025;14975;1995;2018;3
2025;100956;1995;2019;3
2025;82224;1995;2020;3
2025;5001294;1995;2021;3
2025;1408504;1995;2019;3
2025;1408259;1995;2022;3
2025;1483773;1995;2020;3
2025;1487491;1995;2022;3
2025;1399482;1995;2021;3
2025;1188900;1995;2020;3
2025;1483773;1995;2020;3
2025;1050663;1995;2021;3
2025;1399477;1995;2020;3
2025;1200578;1995;2020;3
2025;1399615;1995;2019;3
2025;1487290;1995;2020;3
2025;72681;1995;2020;3
2025;98506;1995;2020;3
2025;72681;1995;2020;3
2025;1483805;1995;2020;3
2025;72681;1995;2022;3
2025;18594;1995;2021;4
2025;1518;1995;2019;3
2025;8698;1995;2021;3
2025;1483768;1995;2020;3
2025;1399477;1996;2020;3
2025;7414;1996;2020;3
2025;99476;1996;2020;3
2025;1178672;1996;2020;3
2025;1168313;1996;2022;3
2025;1399480;1996;2020;3
2025;1184060;1996;2020;3
2025;1108281;1996;2021;3
2025;57852;1996;2020;2
2025;1397772;1996;2020;3
2025;1179189;1996;2020;3
2025;12;1996;2019;3
2025;1190667;1996;2021;3
2025;1190667;1996;2020;3
2025;9996;1996;2020;3
2025;38071;1996;2020;3
2025;1108786;1996;2020;3
2025;64918;1996;2020;3
2025;1163738;1996;2020;3
2025;1399616;1996;2019;3
2025;85652;1996;2019;3
2025;1108281;1996;2021;3
2025;1455021;1996;2021;3
2025;7676;1996;2020;3
2025;5000931;1996;2020;3
2025;85652;1996;2021;3
2025;72667;1996;2020;3
2025;1168313;1996;2020;3
2025;1421100;1996;2020;3
2025;1397771;1996;2020;3
2025;1258021;1996;2020;3
2025;1188900;1996;2020;3
2025;1180318;1996;2020;3
2025;5345;1996;2020;3
2025;1321864;1996;2020;3
2025;18472;1996;2020;3
2025;1485621;1996;2021;3
2025;1108281;1996;2021;3
2025;1455021;1996;2020;3
2025;71859;1996;2020;3
2025;1108786;1996;2020;3
2025;1399488;1996;2021;3
2025;18605;1996;2020;3
2025;97679;1996;2020;3
2025;51835;1996;2020;3
2025;9772;1996;2021;3
2025;1292869;1996;2021;3
2025;5001294;1996;2021;3
2025;1190280;1996;2019;3
2025;1190280;1996;2019;3
2025;18605;1996;2021;3
2025;10289;1996;2020;3
2025;1193275;1996;2020;3
2025;71859;1996;2020;3
2025;1184060;1996;2019;3
2025;2304;1996;2022;3
2025;100688;1996;2020;3
2025;1399479;1996;2020;3
2025;1184047;1996;2020;3
2025;65114;1996;2022;3
2025;99476;1996;2020;3
2025;18472;1996;2017;3
2025;72669;1996;2020;3
2025;1399480;1996;2021;3
2025;1399615;1996;2020;3
2025;1349675;1996;2020;3
2025;1399616;1996;2020;3
2025;1163738;1996;2020;3
2025;13723;1996;2020;3
2025;5000930;1996;2023;1
2025;85652;1996;2020;3
2025;72667;1996;2024;3
2025;18605;1996;2021;3
2025;1192047;1996;2021;3
2025;74655;1996;2020;3
2025;1214209;1996;2020;3
2025;9988;1996;2020;3
2025;1399481;1996;2020;3
2025;1190280;1996;2019;3
2025;1184047;1996;2020;3
2025;58412;1996;2020;3
2025;85652;1996;2020;3
2025;65114;1996;2021;3
2025;1385538;1996;2020;3
2025;18605;1996;2021;3
2025;66361;1996;2020;3
2025;1322329;1997;2022;3
2025;1050663;1997;2020;3
2025;1190621;1997;2020;3
2025;90084;1997;2020;3
2025;1399482;1997;2020;3
2025;72669;1997;2019;3
2025;5000981;1997;2020;3
2025;1483773;1997;2020;3
2025;1486822;1997;2020;3
2025;9996;1997;2020;3
2025;12970;1997;2020;1
2025;98506;1997;2021;3
2025;1408259;1997;2021;3
2025;72667;1997;2020;3
2025;18594;1997;2021;4
2025;1408262;1997;2021;3
2025;7414;1997;2020;3
2025;1192047;1997;2019;3
2025;1322329;1997;2020;3
2025;79007;1997;2020;3
2025;6496;1997;2020;3
2025;2918;1997;2020;3
2025;1184325;1997;2020;3
2025;1487491;1997;2023;3
2025;9805;1997;2020;3
2025;1457503;1997;2020;3
2025;1190667;1997;2020;3
2025;7414;1997;2019;3
2025;1385538;1997;2017;3
2025;1408259;1997;2022;3
2025;1193275;1997;2020;3
2025;1334344;1997;2021;3
2025;1399287;1997;2019;3
2025;74655;1997;2020;3
2025;72767;1997;2020;3
2025;5001294;1997;2020;3
2025;57402;1997;2020;3
2025;1184325;1997;2020;3
2025;1457707;1997;2020;4
2025;1193275;1997;2020;3
2025;18605;1997;2021;3
2025;1108281;1997;2020;3
2025;1342505;1997;2019;3
2025;1421013;1997;2020;3
2025;1725;1997;2020;3
2025;5001294;1997;2020;3
2025;1487491;1997;2023;3
2025;18605;1997;2019;3
2025;7414;1997;2020;3
2025;1202547;1997;2014;3
2025;5001294;1997;2022;3
2025;100956;1997;2020;3
2025;93001;1997;2020;3
2025;72663;1997;2020;3
2025;72667;1997;2020;3
2025;65114;1997;2021;3
2025;100956;1997;2020;3
2025;65924;1997;2020;3
2025;7414;1997;2020;3
2025;1292726;1997;2018;3
2025;86288;1997;2022;3
2025;1427420;1997;2020;3
2025;49060;1997;2019;3
2025;1292917;1997;2020;3
2025;1408259;1997;2020;3
2025;57402;1997;2020;3
2025;65924;1997;2019;3
2025;1322329;1997;2020;3
2025;5000812;1997;2020;3
2025;1399614;1997;2020;4
2025;91219;1997;2021;3
2025;5001294;1997;2021;3
2025;65114;1997;2021;3
2025;91219;1997;2023;3
2025;1322329;1997;2021;3
2025;87537;1997;2020;3
2025;1168313;1997;2022;3
2025;72675;1997;2020;3
2025;1457707;1997;2020;4
2025;5001294;1997;2022;3
