NU_ANO;CO_CURSO;CO_CADERNO;NU_ITEM;NU_ITEM_Z;NU_ITEM_X;DS_VT_GAB_OBJ;DS_VT_ACE_OBJ;DS_VT_ESC_OBJ;TP_PR_GER;PROFICIENCIA;NT_GER;QT_ACERTO_AREA_1;QT_ACERTO_AREA_2;QT_ACERTO_AREA_3;QT_ACERTO_AREA_4;QT_ACERTO_AREA_5;PER_ACERTO_ENARE;CO_RS_I1;CO_RS_I2;CO_RS_I3;CO_RS_I4;CO_RS_I5;CO_RS_I6;CO_RS_I7;CO_RS_I8;CO_RS_I9
2025;78256;1;90;7;3;ABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBCCACCADDABCABBDAACBCBBACAA6BDBADDBCBDBAACBACABDCCA6;1801116066601110000000111011111101111018106101001000110000000101101100101116111011111018111111000016;ADBDCBACDBCCCBACBBCDBCBDADDBACBDBBDCDCDACADBDCACBBDCCCBBACCBDBCDABCBBABCCAAABDBDDDBCBCBAACBACADCADAC;555;-0.34;61.1;9;10;7;16;10;62;C;C;B;B;C;B;D;B;A
2025;9326;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;6100001111018100101101016111000011101000100111100118101060666011100101101010110111010100181161111011;AAADCDACABDAABACCCDDDBCBAAACBACABCABDDADCACDDACBDCADAACADCBDBACBAABDBCACBAADDBDCBDABCCCADDCDABBCCCBC;555;-0.34;61.1;8;8;11;13;12;62;D;D;D;C;C;B;D;B;B
2025;72669;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;6000001111118100111101116011011010001011110011110108100161666111101000011010100101101110181160110000;CDDDBDACABCAABCCCBDDDBDBABACCBBABDBDDCBACBBCDACCDCCDAADBDBDCCDCBAADACDBABBADDABCCDCADCDBDDCDCABCACAB;555;-0.34;61.1;10;10;9;12;11;62;C;C;C;C;C;A;D;B;A
2025;1108786;1;90;7;3;ABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBCCACCADDABCABBDAACBCBBACAA6BDBADDBCBDBAACBACABDCCA6;1811116066610111101000111110010101010118006111001010111100010100000101101116110010110118111011000106;ACADCBDCACCDABABDADBDBBDACDCBCCDDBBCADDDBADBBCACBDCBCCADADCCDBDCDCDBABBCCAAABDCDDABCADBAACBBCAACDCBA;555;-0.34;61.1;8;13;6;13;12;62;C;D;C;B;B;A;C;B;A
2025;5001294;1;90;7;3;ABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBCCACCADDABCABBDAACBCBBACAA6BDBADDBCBDBAACBACABDCCA6;0811106166601110000101110111010111101018116011100101101100011100011100001106110011111108101010110006;DAADCCABADBBCBAACACCDABDDCDBBCADCBDBDCDDCDBCBCCCACBACAADBCACABDADACBAACCCABABDDDDDBCBDDDADBDCCBDDDBC;555;-0.34;61.1;9;9;10;9;15;62;D;D;C;C;D;B;D;B;B
2025;1477973;1;90;7;3;ABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBCCACCADDABCABBDAACBCBBACAA6BDBADDBCBDBAACBACABDCCA6;1810016166610111000111110001000111000008116111100011101100011101011000101116110111111008100110110106;ACAAABCBABCDBBABBBCCAABDCABBBDCDCBABAAADCDABBCCCDBCACAADBDDCABDDDACDBDBDCAAABDCADDBCBCDDADCACBBDACDC;555;-0.34;61.1;12;10;11;8;11;62;D;D;C;C;C;B;C;B;A
2025;74655;1;90;7;3;ABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBCCACCADDABCABBDAACBCBBACAA6BDBADDBCBDBAACBACABDCCA6;1811106066611111000010110010011100111018116011000000111100111101001111000106111011010118111111000006;AAADCCBADCCDCBABCBBBABBDDDDABCBDDCDCDBDCCDCABCABAADCCCADBCBCABCDBCCBCBCDDADABDBDDDCCCDBDACBACACADACB;555;-0.34;61.1;8;12;9;11;12;62;C;C;C;B;B;D;D;D;A
2025;121850;1;90;7;3;ABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBCCACCADDABCABBDAACBCBBACAA6BDBADDBCBDBAACBACABDCCA6;1811106066601101000111110010110111011018116111101000111100000110111100001116100011111018101101000006;ABADCCACACCACBDBCACCAABDCADAACDDCBCCDCDDCDABBCCABADCCCADADCBDBBCAACBBACCCAAABCCDDDBCBABAADBADADCDBCC;555;-0.34;61.1;8;8;11;12;13;62;C;C;B;B;C;A;D;B;A
2025;1406536;1;90;7;3;ABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBCCACCADDABCABBDAACBCBBACAA6BDBADDBCBDBAACBACABDCCA6;1810016166611100100101110110011111010118106011100001111010001101111100001106111011100008101110100016;ADAADBDBDCCDCBDCDACCBABDBCDCDCBDCBACBDDDCBAABCCCADDACCABDCABABADAACBBACCCADABDBDDDBBCCAAADBACCBADDAC;555;-0.34;61.1;8;12;10;11;11;62;C;C;C;B;C;A;D;B;A
2025;4503;1;90;7;3;ABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBCCACCADDABCABBDAACBCBBACAA6BDBADDBCBDBAACBACABDCCA6;1810106166601111000111110100011111011018116101100000111000011101001111001006111011001108111110000016;ADAACCDBDBCACBABCBCCAABDCCCCBCBDCBBCDCDCCDDBACCCCBBDCCABADCCABCDDBCBCBACCBDABDBDDDCABDDBACBACCDCDAAC;555;-0.34;61.1;11;10;9;11;11;62;D;D;C;B;D;E;C;B;A
